Unicode	Sound	syllabic	stress	long	consonantal	sonorant	continuant	delayed release	approximant	tap	trill	nasal	voice	spread gl	constr gl	labial	round	labiodental	coronal	anterior	distributed	strident	lateral	dorsal	high	low	front	back	tense
ɧ	Vow	-	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	-	+	-	+	+	-	+	+	-	0	0	0
k͡p	Vow	-	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	+	+	-	0	0	0
ɡ͡b	Vow	-	-	-	+	-	-	-	-	-	-	-	+	-	-	+	-	-	-	0	0	0	-	+	+	-	0	0	0
p͡t	Vow	-	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	+	+	-	+	-	-	0	0	0	0	0
b͡d	Vow	-	-	-	+	-	-	-	-	-	-	-	+	-	-	+	-	-	+	+	-	+	-	-	0	0	0	0	0
ɰ	Vow	-	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	+	-	0	0	+
ɰ̠	Vow	-	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	+	-	-	+	+
w	Vow	-	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	+	-	-	+	+
ɥ	Vow	-	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	+	-	+	-	+
j	Vow	-	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	+	-	+	-	+
ɹ	Vow	-	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	+	-	+	-	-	-	0	0	0	0	0
ʋ	Vow	-	-	-	-	+	+	0	+	-	-	-	+	-	-	+	-	+	-	0	0	0	-	-	0	0	0	0	0
ʍ	Vow	-	-	-	-	-	+	+	-	-	-	-	-	+	-	+	+	-	-	0	0	0	-	+	+	-	-	+	+
ɦ	Vow	-	-	-	-	-	+	+	-	-	-	-	+	+	-	-	-	-	-	0	0	0	-	-	0	0	0	0	0
h	Vow	-	-	-	-	-	+	+	-	-	-	-	-	+	-	-	-	-	-	0	0	0	-	-	0	0	0	0	0
